"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
segundo os meses - Brasil - 2018 - 2019,,,,,,,,,
,,,,,,,,,
Mês,Número de animais abatidos (mil cabeças) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2018,2019.0,Variação,2018,2019.0,Variação,2018,2019.0,Variação
Total do ano,32042.688000000002,32436.450999999997,1.2288700623368287,44337.204999999994,46330.913,4.496693014365705,5698493.766000001,5805392.543,1.8759128532843006
Total do 1º Trimestre,7773.005,7927.374,1.9859629576978177,10725.472,11298.621,5.343811442517388,1478794.049,1438151.606,-2.748350456744375
 Janeiro ,2676.918,2771.166,3.520765298003159,3686.284,3896.569,5.704525207498934,511752.062,503811.093,-1.5517219352210398
 Fevereiro ,2434.199,2541.627,4.413279275852133,3330.841,3658.904,9.849254287430709,464629.403,464322.671,-0.06601648497049917
 Março ,2661.888,2614.581,-1.7771972374495015,3708.347,3743.148,0.9384504740252098,502412.584,470017.842,-6.447836505623828
Total do 2º Trimestre,7767.877,7938.871,2.201296441743339,10834.516,11396.011,5.182465003512848,1376795.839,1425159.526,3.512771148054017
 Abril ,2618.66,2642.359,0.9050048498086882,3673.832,3815.904,3.8671338264787414,484735.648,478561.044,-1.2738085233624075
 Maio ,2313.387,2838.93,22.717470099036596,3098.349,4008.137,29.36363850553956,406446.715,503788.943,23.94956691924548
 Junho ,2835.83,2457.582,-13.33817612480297,4062.335,3571.97,-12.071013345772819,485613.476,442809.539,-8.814404689214195
Total do 3º Trimestre,8316.874,8498.729,2.186578755431423,11586.865,11750.163,1.4093372107123026,1426424.434,1471807.254,3.1815789829634955
 Julho ,2852.807,2944.43,3.2116788832893484,4008.28,4050.501,1.0533445767261673,470995.151,508960.78,8.060726085904024
 Agosto ,2933.805,2875.879,-1.9744325202254442,4091.404,3959.551,-3.222683460249831,506899.033,496800.138,-1.9922892612817433
 Setembro ,2530.262,2678.42,5.855441057092103,3487.181,3740.111,7.253136559301043,448530.25,466046.336,3.905218432870483
